Name,Code__c,StatusSF__c
Changes_prohibited,_1,Drafting
Technical_expertise,_2,Drafting
Technical_Department,_3,Drafting
Metal_Department,_4,Placed
Position_canceled,_5,Cancelled
Planning_Group,_6,Placed
NMTZ_insulation,_7,Drafting
GSZ_control,_8,Placed
Confirmed_by_workshop_PRODUCTION,_9,Placed
Factory_completed,_10,Closed
Position_closed,_11,Closed
Commercial_control,_12,Drafting
PRB_control_TPC7,_13,Drafting
Marking_formation,_14,Placed
Technical_Bureau_TPC3,_15,Drafting
Technical_Bureau_TPC4,_16,Drafting
Technical_Bureau_TPC5,_17,Drafting
SK,_18,Drafting
CZL,_19,Drafting
KDO,_20,Drafting
PRB_control_TPC2,_21,Drafting
PRB_control_TPC6,_22,Drafting
PRB_control_TPC3,_23,Drafting
PRB_control_TPC4,_24,Drafting
PRB_Control_TPC5,_25,Drafting
Exp_Planning_Group,_26,Drafting
Exp_NMTZ_Insulation,_27,Drafting
Exp_Metal_Department,_28,Drafting
Technical_Bureau_TPC7,_29,Drafting
Technical_Bureau_TPC2,_30,Drafting
Technical_Bureau_TPC6,_31,Drafting
SK_TPC7,_32,Drafting
SK_TPC2,_33,Drafting
SK_TZ6,_34,Drafting
Tech_Laboratory,_35,Drafting
IL,_36,Drafting
OSNK,_37,Drafting
Recipient_details,_38,Placed
PRB_control_KPC_KBL,_39,Placed
CLM,_40,Drafting
PRB_control_RMC,_41,Placed
Tech_Bureau_KPC_KBL,_42,Drafting
PRB_control_NMTZ,_43,Drafting
Joint_Tech_agreement,_44,Drafting
Approval_upon_delivery,_45,Placed
Plant_delivered_approval,_46,Closed
Approval_UP,_47,Drafting
Sales_Order_Confirmation,_48,Drafting
Open_Order,_49,Drafting
TE_Threaded_connections,_50,Drafting
Steel_grade_for_production,_51,Placed
HOLD,_52,Placed
Master_Order,_53,Placed
Preparation_of_development_program,_54,Drafting
