"ArtifactType","PathOrName","Location","Snippet"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Administration.app-meta.xml","1774","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Lead_Generation.app-meta.xml","1749","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\LightningMarketing.app-meta.xml","1769","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Management.app-meta.xml","3141","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Relationship_Management.app-meta.xml","1751","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Sales_Leadership.app-meta.xml","1758","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\Sales_Operations.app-meta.xml","1757","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__AppLauncher.app-meta.xml","10","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Chatter.app-meta.xml","14","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Community.app-meta.xml","18","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__LightningSales.app-meta.xml","1954","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__LightningSalesConsole.app-meta.xml","3309","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__LightningSalesConsole.app-meta.xml","3492","<tab>Production_Quota__c</tab>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Marketing.app-meta.xml","22","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__OnlineSales.app-meta.xml","1568","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Platform.app-meta.xml","19","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Sales.app-meta.xml","24","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__SalesforceCMS.app-meta.xml","1580","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__SalesforceCMS.app-meta.xml","1759","<tab>Production_Quota__c</tab>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__Service.app-meta.xml","21","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__ServiceConsole.app-meta.xml","188","<tabs>Production_Quota__c</tabs>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\applications\standard__ServiceConsole.app-meta.xml","369","<tab>Production_Quota__c</tab>"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotas.cls","8","return Database.getQueryLocator([SELECT id,Production_Amount_t__c,Quota_Mt__c FROM Production_Quota__c]);"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotas.cls","10","global void execute(Database.BatchableContext bc, List<Production_Quota__c> records){"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotas.cls","11","for(Production_Quota__c pq : records){"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotasTest.cls","6","List<Production_Quota__c> pqList = new List<Production_Quota__c>();"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotasTest.cls","8","Production_Quota__c pq = new Production_Quota__c(Production_Amount_t__c = 1 + i);"
"GenericMatch","C:\Users\aleksandr.novikov\InterpipeNewDev\force-app\main\default\classes\CopyProductionAmountinQuotasTest.cls","18","List<Production_Quota__c> pqUpdList= [SELECT Id,Production_Amount_t__c,Quota_Mt__c FROM Production_Quota__c];"
